,drama_tags_list
300,/3132-shut-up-flower-boy-band
301,/34415-in-a-class-of-her-own
302,/680735-color-rush
303,/22866-an-oriental-odyssey
304,/24351-im-not-a-robot
305,/58945-jin-xin-si-yu
306,/21934-stranger
307,/22170-fights-break-sphere
308,/30962-2-moons-the-series-season-2
309,/3380-rooftop-prince
310,/54335-my-small-indeed-fortunate
311,/36819-counterfeit-crown-princess
312,/16311-marriage-contract
313,/2969-scarlet-heart
314,/18774-something-about-1-percent
315,/38627-true-beauty
316,/29185-my-id-is-gangnam-beauty
317,/51853-silence
318,/79341-wish-you-your-melody-in-my-heart
319,/60335-love-revolution
320,/51305-wait-young-master
321,/11462-untouchable-lovers
322,/34221-human-lessons
323,/55651-bkpp
324,/14558-minami-kun-no-koibito-my-little-lover
325,/49211-falling-in-love-with-you-in-the-contract-period
326,/39951-the-moon-bright-for-you
327,/28168-memories-of-the-alhambra
328,/81-autumns-concerto
329,/49793-friend-zone-2-dangerous-area
330,/32545-man-that-bakes-bread
331,/31121-our-skyy
332,/6081-nine-nine-times-time-travel
333,/2196-warrior-baek-dong-soo
334,/13606-marry-me-or-not
335,/35039-the-king-the-eternal-monarch
336,/23520-hundred-million-stars-from-the-sky
337,/28686-hand
338,/39519-if-you-re-well-it-s-a-fine-day
339,/3386-king2hearts
340,/14805-kiss-me
341,/1547-baby-faced-beauty
342,/22806-kingdom
343,/264-orange-days
344,/58-it-started-with-a-kiss
345,/28659-pan
346,/22605-hit-the-top
347,/22149-criminal-minds
348,/8748-love-in-time
349,/30740-sky-castle
350,/12469-someone-like-you
351,/3708-arang-and-the-magistrate
352,/32-nodame-cantabile
353,/61275-lovely-writer
354,/36013-first-romance
355,/27866-ossan-s-love
356,/30294-luead-khon-kon-jang
357,/216-easy-fortune-happy-life
358,/19702-nigeru-wa-haji-da-ga-yaku-ni-tatsu
359,/19028-general-and-i
360,/71059-untitled-im-sung-han-project
361,/55675-the-ballot
362,/5570-jang-ok-jung
363,/52-tumbling
364,/18896-age-of-youth
365,/72613-replay
366,/21475-the-legend-of-dogu
367,/11133-liar-game-2014
368,/1344-asuko-march
369,/2854-office-girls
370,/12647-angry-mom
371,/49709-convenience-store-venus
372,/38723-the-game-towards-midnight
373,/33431-midnight-snack-men-women
374,/28256-greasy-melo
375,/6015-fabulous-boys
376,/26135-rich-man-poor-woman
377,/18882-tomorrow-with-you
378,/343-hana-kimi
379,/24987-witchs-court
380,/19234-the-bride-of-habaek
381,/20284-medical-examiner-dr.-qin
382,/19808-the-crown-princess
383,/22126-love-alarm
384,/54921-born-again
385,/39301-dr-cutie
386,/35205-nobody-knows
387,/2983-hana-yori-dango-2005
388,/18546-suki-na-hito-ga-iru-koto
389,/3929-k-pop-the-ultimate-audition
390,/8929-secret-love-affair
391,/3228-fashion-king
392,/16589-w
393,/31239-the-world-owes-me-a-first-love
394,/29065-secret-queen-makers
395,/16001-dame-na-watashi-ni-koishite-kudasai
396,/111-coffee-house
397,/3985-queen-in-hyuns-man
398,/30967-red-moon-blue-sea
399,/49207-don-t-lie-to-your-lover
400,/24275-the-eternal-love
401,/33194-watcher
402,/6497-monstar
403,/16797-dramaworld
404,/33140-i-am-your-king-the-series-ii
405,/20396-my-only-love-song
406,/8539-bride-of-the-century
407,/13544-reply-1988
408,/21920-liehuo-ruge
409,/16565-jealousy-incarnate
410,/34411-mountains-and-oceans
411,/26771-hana-nochi-hare-hanadan-next-season
412,/53535-penthouse
413,/9025-nirvana-in-fire
414,/48685-si-teng
415,/16611-another-miss-oh
416,/8246-lets-eat
417,/29565-hot-blooded-priest
418,/58337-kairos
419,/3057-love-rain
420,/133-mars
421,/28597-my-girlfriend
422,/680869-second-chance
423,/74561-we-best-love-the-runner-up-strikes-back
424,/4518-panda-and-hedgehog
425,/15171-noble-my-love
426,/36269-doctor-playbook
427,/24-full-house-
428,/22703-senior-secret-love-puppy-honey-2
429,/141-meteor-garden
430,/16177-back-to-1989
431,/52427-2wish-the-series
432,/9803-marriage-not-dating
433,/32977-spring-night
434,/33029-instead-of-tipsy-why-not-get-drunk
435,/14213-oh-my-ghostess
436,/8507-boku-no-ita-jikan
437,/18-yamato-nadeshiko-shichi-henge
438,/40305-the-ghost-bride
439,/27467-go-go-squid
440,/4996-the-king-of-dramas
441,/3861-i-do-i-do
442,/22361-2-moons-the-series
443,/43827-sisyphus-the-myth
444,/52923-nai-he-boss-you-ru-he
445,/8963-cruel-romance
446,/1702-city-hunter-2011
447,/274-tree-of-heaven
448,/22066-game-sanaeha
449,/24018-the-kings-avatar
450,/24078-about-time
451,/8550-emergency-couple
452,/291-time-between-dog-and-wolf-2007
453,/9288-youre-all-surrounded
454,/38587-the-way-of-favours
455,/17219-beautiful-gong-shim
456,/26385-three-lives-three-worlds-the-pillow-book
457,/24863-go-back-couple
458,/74-hotaru-no-hikari
459,/694515-ryu-sun-bi-s-wedding-ceremony
460,/25-gokusen
461,/26895-ren-bu-biao-han-wang-shao-nian
462,/18452-goblin
463,/32293-her-private-life
464,/53953-princess-changge
465,/1605-lie-to-me
466,/62495-untitled
467,/52173-the-fires-of-cooking-hua-xiao-chu
468,/3027-me-too-flower
469,/10873-kill-me-heal-me
470,/50121-sweet-first-love
471,/49877-love-to-be-loved-by-you
472,/10846-my-lovely-girl
473,/18894-strong-woman-do-bong-soon
474,/23281-heavy-sweetness-ash-like-frost
475,/24203-our-glamorous-times
476,/22234-queen-of-mystery
477,/31880-he-s-coming-to-me
478,/239-biscuit-teacher-and-star-candy
479,/22292-the-kings-woman
480,/6753-reply-1994
481,/23222-boku-dake-ga-inai-machi
482,/49949-midsummer-is-full-of-hearts
483,/22162-my-mr.-mermaid
484,/7028-two-weeks
485,/34231-love-trap
486,/9127-naeils-cantabile
487,/3164-history-of-the-salaryman
488,/215-queen-seon-duk
489,/26979-devilish-joy
490,/33186-secret
491,/54625-flower-of-evil
492,/28800-top-management
493,/33720-in-peng-lai
494,/76-bad-guy-2010
495,/26644-eulachacha-waikiki
496,/288-49-days-2011
497,/22722-sotus-s-the-series
498,/32206-chasing-ball
499,/19806-my-little-princess
500,/27887-tale-of-gyerong-fairy
501,/22597-duel
502,/20806-the-emperor-owner-of-the-mask
503,/3152-operation-proposal
504,/16369-kiss-the-series
505,/40-liar-game
506,/18626-kimi-wa-petto
507,/15338-the-princess-wei-young
508,/57049-private-life
509,/49055-all-i-want-for-love-is-you
510,/62085-a-wonderful-rumor
511,/27885-why-secretary-kim
512,/2986-youre-beautiful
513,/36109-ancient-detective
514,/79-dream-high
515,/15664-bromance
516,/31342-psychometric-fellow
517,/137-chuno
518,/39461-best-mistake
519,/13239-signal
520,/24221-misty
521,/22500-the-destiny-of-white-snake
522,/30567-history3-trap
523,/30673-the-best-twins
524,/5955-all-about-my-romance
525,/28600-princess-silver
526,/49735-begin-again
527,/5571-school-2013
528,/2988-nobuta-wo-produce
529,/51207-my-girl
530,/8-secret-garden-2010
531,/11350-blood-2015
532,/22656-heavenly-sword-and-dragon-saber
533,/21465-my-secret-romance
534,/33645-a-little-thing-called-first-love
535,/28-tokyo-dogs
536,/39661-love-and-redemption
537,/13322-orange-marmalade
538,/32018-3-nen-a-gumi-ima-kara-minna-san-wa-hitojichi-desu
539,/9289-its-okay-thats-love
540,/29784-a-teen
541,/4689-reply-1997
542,/28621-incheon-airport-people
543,/2982-coffee-prince
544,/15320-uncontrollably-fond
545,/39221-stove-league
546,/8511-i-need-romance-3
547,/22646-history-obsessed
548,/31763-novoland-the-castle-in-the-sky-2
549,/36445-the-sweet-love-story
550,/15055-she-was-pretty
551,/29133-witch-s-love
552,/26354-history2-boundary-crossing
553,/50941-the-man-s-memory
554,/31254-possession
555,/26035-guardian
556,/31314-renascence
557,/10424-surplus-princess
558,/52895-love-scenery
559,/28323-unrequited-love
560,/12360-falling-for-innocence
561,/30926-legend-of-awakening
562,/53041-yanxi-palace-princess-adventures
563,/14457-cheese-in-the-trap
564,/15801-princess-hours
565,/21396-the-perfect-match
566,/32406-me-alone-and-you
567,/35325-the-best-of-you-in-my-mind
568,/62445-love-unexpected
569,/88-prosecutor-princess
570,/33795-wait-my-youth
571,/18519-miss-in-kiss
572,/22926-wednesday-330-p.m
573,/13103-the-girl-who-sees-scents
574,/4997-queen-of-ambition
575,/25650-beneath-the-embroidered-uniform
576,/32211-dear-citizens
577,/20938-behind-your-smile
578,/26034-the-culprit-is-you
579,/30917-dazzling
580,/16645-noble-aspirations
581,/45437-qi-hun
582,/24058-the-brightest-star-in-the-sky
583,/33779-hen-jun-bu-si-jiang-lou-yue
584,/12885-missing-noir-m
585,/2987-boys-over-flowers
586,/1701-dream-high-2
587,/18952-fighter-of-the-destiny
588,/240-stairway-to-heaven
589,/21020-because-of-you
590,/55061-rose-in-the-storm
591,/682933-you-make-me-dance
592,/760-sunny-happiness
593,/38491-half-of-half
594,/22647-history-stay-away-from-me
595,/53589-hello-mr-gu
596,/24479-girls-generation-1979
597,/3623-sound-of-the-desert
598,/44611-i-have-been-there-once
599,/5778-the-incarnation-of-money
600,/34637-the-legend-of-xiao-chuo
601,/32728-ever-night-season-2
602,/51573-da-tang-ming-yue
603,/31556-hajimete-koi-o-shita-hi-ni-yomu-hanashi
604,/51571-cat-s-cradle
605,/20-playful-kiss
606,/26230-love-game-the-great-seduction
607,/30290-girl-from-no-where-the-series
608,/31762-you-are-my-destiny
609,/23592-only-side-by-side-with-you
610,/39017-call-it-like-you-see-it
611,/28893-my-dream-the-series
612,/58365-queen-cheorin
613,/62223-make-my-heart-smile
614,/16921-go-hos-starry-night
615,/16192-doctors
616,/14028-lets-have-dinner-together
617,/9260-witchs-romance
618,/19644-bad-romance-the-series
619,/56399-you-are-my-destiny
620,/9916-bad-guys
621,/3079-the-moon-that-embraces-the-sun
622,/22783-my-dear-loser-series-edge-of-17
623,/22132-master-devil-do-not-kiss-me
624,/24095-sweet-combat
625,/27393-love-by-chance
626,/27681-my-tee
627,/15845-dear-my-friends
628,/53875-day-and-night
629,/33184-flower-crew-joseon-marriage-agency
630,/22236-radiant-office
631,/26226-the-eternal-love-2
632,/12591-dream-knight
633,/29389-to-jenny
634,/6064-you-are-the-best
635,/27950-handsome-guy-and-jung-eum
636,/26362-my-engineer
637,/49-buzzer-beat
638,/39955-frog-prince
639,/67711-benxjim
640,/1736-skip-beat
641,/40131-born-in-1985
642,/49999-memorist
643,/34667-arthdal-chronicles-season-3
644,/54715-lie-of-a-lie
645,/29322-eulachacha-waikiki-2
646,/59839-before-your-eyes-stop
647,/28676-cinderella-chef
648,/39975-the-married-life
649,/33459-walk-into-your-memory
650,/27352-friend-zone
651,/49871-love-is-sweet
652,/34245-black-dog
653,/10872-love-sick-the-series
654,/6699-dating-agency-cyrano
655,/63883-i-m-tee-me-too
656,/23772-black
657,/9849-discovery-of-romance
658,/38301-romantic-doctor-teacher-kim-2
659,/30767-revenge-is-back
660,/34539-ssang-gap-pocha
661,/34064-sweet-home
662,/51397-final-chronicles
663,/5533-can-we-get-married
664,/3570-a-gentlemans-dignity
665,/69915-oh-master
666,/13404-ex-girlfriend-club
667,/2591-the-princess-man
668,/32796-past-life-and-life
669,/26049-clean-with-passion-for-now
670,/36297-hyena
671,/38645-soh-wayree
672,/32445-unrequited-love
673,/28978-dear-judge
674,/27510-bloody-romance
675,/22885-100-manen-no-onna-tachi
676,/26352-history2-right-or-wrong
677,/298-winter-sonata
678,/15986-one-more-happy-ending
679,/1445-heartstrings
680,/15663-ode-to-joy
681,/209-summers-desire
682,/56-tatta-hitotsu-no-koi
683,/28057-legend-of-white-snake
684,/32296-blue-eye
685,/31692-boku-wa-mada-kimi-o-aisanai-koto-ga-dekiru
686,/9558-fated-to-love-you
687,/52317-intense-love
688,/25173-pretty-noona-who-buys-me-food
689,/30944-because-it-s-my-first-love
690,/80-proposal-daisakusen
691,/18980-drinking-solo
692,/19262-weightlifting-fairy-kim-bok-joo
693,/27314-ting-xue-lou
694,/2277-ikemen-desu-ne
695,/21684-good-bye-my-princess
696,/37567-coffee-vanilla
697,/30568-history3-miracle
698,/7183-just-you-2013
699,/49865-psycho-but-it-s-okay
700,/8791-gods-gift-14-days
701,/15227-moon-river
702,/27397-handsome-siblings
703,/21306-introverted-boss
704,/10814-healer
705,/9220-fall-in-love-with-me
706,/23718-red-balloon
707,/51325-the-search
708,/11074-pinocchio
709,/50395-forever-love
710,/24425-i-cannot-hug-you
711,/25172-my-ajusshi
712,/6827-ugly-alert
713,/10359-hi-school-love-on
714,/25559-ms.-hammurabi
715,/54-hi-my-sweetheart
716,/15087-moorim-school
717,/54451-because-of-you
718,/25985-dark-blue-and-moonlight
719,/6640-the-heirs
720,/680959-the-penthouse-season-2
721,/40911-go-ahead
722,/25174-you-who-forgot-poetry
723,/32507-beautiful-world
724,/23184-meteor-garden
725,/28037-emperor-phoenix
726,/32082-the-twin-flower-legend
727,/33083-just-an-encore
728,/17065-click-your-heart
729,/16827-entertainer
730,/26488-the-nature-of-a-melo
731,/58613-yyy
732,/20612-youre-my-destiny
733,/1217-thank-you
734,/22939-are-you-human-too
735,/51965-koi-wa-tsuzuku-yo-doko-made-mo
736,/22648-history-my-hero
737,/4738-too-late-to-say-i-love-you
738,/20502-my-bromance-the-series
739,/26841-accidentally-in-love
740,/32424-the-effect
741,/16002-page-turner
742,/6756-the-masters-sun
743,/5184-cheongdamdong-alice
744,/4412-rich-man-poor-woman
745,/30425-bangkok-rak-stories-2-mai-diang-sa
746,/33249-rookie-historian-goo-hae-ryun
747,/684919-writing-your-fate
748,/50135-the-imperial-coroner
749,/31193-an-empress-s-dignity
750,/22990-together-with-me-the-series
751,/471-9-end-2-outs
752,/14325-my-beautiful-bride
753,/25541-suits
754,/53733-way-back-into-love
755,/54683-old-school-intern
756,/65335-quaranthings
757,/33858-the-chang-an-youth
758,/58367-postnatal-care-center
759,/1699-whats-up
760,/6063-when-a-mans-in-love
761,/50097-shen-yi-feng-hou
762,/34105-graceful-family
763,/52015-youth-report
764,/9215-the-empress-of-china
765,/49155-be-with-you
766,/61327-hi
767,/27234-le-coup-de-foudre
768,/26974-life
769,/27361-stranger-2
770,/42045-blue-moon
771,/27601-together-with-me-the-next-chapter
772,/27392-hundred-days-husband
773,/369-black-white
774,/40061-professional-single
775,/30372-find-yourself
776,/26279-where-the-lost-ones-go
777,/64025-call-it-what-you-want
778,/27310-come-here-and-give-me-a-hug
779,/40113-rugal
780,/29950-koi-no-tsuki
781,/29722-boyfriend
782,/19-personal-taste
783,/20098-advance-bravely
784,/5375-love-now
785,/49231-move-to-heaven
786,/58273-life-senjou-no-bokura
787,/52839-oh-my-baby
788,/2937-padam-padam
789,/21664-strongest-deliveryman
790,/50-cinderellas-sister
791,/24407-sweet-revenge
792,/20378-voice
793,/31984-great-men-academy
794,/24015-live
795,/433-que-sera-sera
796,/49431-ice-hockey-girl
797,/27178-ever-night
798,/61655-like-in-the-movies
799,/15246-ice-fantasy
800,/14086-d-day
801,/25809-black-knight
802,/1146-im-sorry-i-love-you
803,/16220-five-enough
804,/56911-do-you-like-brahms
805,/27759-wife-that-i-know
806,/51155-the-most-beautiful-moment-in-life
807,/27606-legend-of-huabuo
808,/13445-the-producers
809,/59701-lost-romance
810,/23911-the-story-of-ming-lan
811,/2411-i-need-romance
812,/15646-nightmare-teacher
813,/37255-psychopath-diary
814,/47-iris
815,/49869-love-is-all
816,/30919-arsenal-military-academy
817,/32966-doctor-room
818,/49159-dance-of-the-sky
819,/27703-terius-behind-me
820,/26024-long-time-no-see
821,/34030-skate-into-love
822,/32152-hello-again
823,/58651-run-on
824,/42107-the-young-lady-of-the-general-s-house
825,/32917-partners-for-justice-2
826,/23956-legend-of-yun-xi
827,/22-atashinchi-no-danshi
828,/32555-tharntype-the-series
829,/58511-sunbae-don-t-put-on-that-lipstick
830,/33183-the-night-of-the-comet
831,/33701-douluo-continent
832,/9702-high-school-king-of-savvy
833,/19012-shopping-king-louis
834,/13857-love-me-if-you-dare
835,/30554-abyss
836,/8996-boss-me
837,/3573-the-queen-of-sop
838,/251-city-hall
839,/23102-make-it-right-2-the-series
840,/24353-avengers-social-club
841,/4667-sprout
842,/9219-the-journey-of-flower
843,/13476-hello-monster
844,/72-my-princess
845,/51909-sandbox
846,/29513-ok-keub-hak-ab-ruk-khun-samee
847,/23472-bpoop-phaeh-saniwaat
848,/37221-nothing-but-thirty
849,/27367-the-gifted
850,/14655-yong-pal
851,/1116-dal-jas-spring
852,/57253-skywatcher
853,/19950-star-of-the-universe
854,/58895-the-spy-who-loved-me
855,/25025-sweet-dreams
856,/33972-jiu-liu-overlord
857,/26949-life-on-mars
858,/3394-the-bridal-mask
859,/92-maou
860,/294-sweet-18
861,/34027-mung-bean-chronicles
862,/21854-good-morning-call-our-campus-days
